id,triggerDesc,deviceCategory
hhwHL6CD,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
hpvELZFf,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
hq7fk8Ce,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
i5WGkChs,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
i6W2BxnV,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
iBuvida7,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
iHaLzeAY,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
iSy9Us4R,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
iXSbGL9i,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
iZqN2Hcs,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
ihMqpNz9,The trigger fires when the Swann Video Doorbell button is pressed.,Generic/Other
ij4PeXZD,The trigger fires when the Swann Video Doorbell button is pressed.,Light
imakH9fE,This trigger monitors the UbiBot device's built-in humidity sensor readings and fires whenever the humidity rises above or drops below the value you provide. ,Generic/Other
ivHpDJ7d,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
iwNBF7Mu,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
ixiwk4f3,This Trigger monitors your local UV levels and fires every time the UV index rises above the value you specify (0-16).,Generic/Other
j32trnBc,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
j3c6PDzV,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
j4udbHYf,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Generic/Other
j6fgQDiZ,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
jDHVCti7,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
jG6VJcUL,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
jNQyKRL9,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
jt7JyDRq,This trigger is run every time a specific Flow has been started on Homey. In order to use this Applet you need to be an owner on your Homey and have the IFTTT Homey App installed.,Generic/Other
jy69rHkQ,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Thermostat/Heating
jycQhgpb,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
k2Bf3JNE,This trigger is run every time a specific Flow has been started on Homey. In order to use this Applet you need to be an owner on your Homey and have the IFTTT Homey App installed.,Generic/Other
k2EcxGuQ,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
kEXkntsF,Send IFTTT a tagged SMS by adding a hashtag symbol anywhere in the message (e.g. #IFTTT). ,Generic/Other
kFYE8yhq,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
kLsKGvCD,This trigger is fired from the assigned pusher on your Kronaby watch.,Thermostat/Heating
kP4DhUiY,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
kXtTSc8Y,This triggers fires every time the child lock has deactivated.,Light
kpyre5MG,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
kxi2VpRn,This Trigger monitors changes in your thermostat's set temperature and fires if it exceeds a certain threshold.,Light
kxyWNdLG,This Trigger monitors changes in your thermostat's set temperature and fires whenever it changes.,Light
kzRFdkCS,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
kzVdkUfP,Trigger an Applet when the door is locked,Light
m5M6Fqpe,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
m9Ry4B3A,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
mBHqv46y,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
mRwcsjBD,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
mT5axueL,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
mY6ZLjCt,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
mgdbmBYt,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
mjuXqvBF,This trigger is run every time a specific Flow has been started on Homey. In order to use this Applet you need to be an owner on your Homey and have the IFTTT Homey App installed.,Generic/Other
mnm3Pia7,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
mtameshZ,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
n85DrpQR,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
nC34BcRZ,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
nEGSMpje,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
nEhaRKCM,Trigger an Applet when the door is unlocked,Generic/Other
nGyzJimM,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
nPAbuyNM,This trigger is fired from the assigned pusher on your Festina watch.,Light
nRTrjmYP,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
nYem6z3T,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
nsaWmpVi,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
pk35jpAf,This trigger monitors the UbiBot device's built-in temperature sensor readings and fires whenever the temperature rises above or drops below the value you provide.,Generic/Other
pn3MK4ST,This Trigger monitors your local UV levels and fires every time the UV index rises above the value you specify (0-16).,Light
pygpcKWb,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
pzhxfnJB,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
q3VP2Nv8,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
q7sjfMDJ,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
q8ruRCeT,"Whenever a preset temperature and/or humidity change detected, SwitchBot Thermometer & Hygrometer (the Meter) will try to trigger the service. E.g. if the temperature is too high, turn on AC with the SwitchBot Hub Plus (the Hub Plus).",Generic/Other
qBa5FTQ2,"Any new record in your 'IFTTT Event' SObject can cause this Trigger to fire. You can use the Salesforce UI (web or mobile), Apex Triggers, Process Builder, etc to insert new records thus causing this IFTTT Trigger to fire. Note: You or your Salesforce adm",Light
qFiB5TeA,This trigger monitors the UbiBot device's external DS18B20 temperature probe 1's readings and fires whenever the temperature rises above or drops below the value you provide (Available for WS1 and WS1-PRO devices).  ,Generic/Other
qPd8YgsC,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
qQtzPVaT,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
qa952vDz,This trigger is fired from the assigned pusher on your Lotus watch.,Generic/Other
qetgKEFx,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
qgQKVju9,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
qhSut9cr,"You can create tags and give them to your Flics, so multiple Flics can be used with a single Recipe.",Light
qiXQepAP,Indicates whether the carbon is clean or dirty,Thermostat/Heating
qs79R4DJ,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
quEDLSgG,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
quNnirQG,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
rBmyLz4q,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
rLJvP7fg,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
rMrjXTxB,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
rNTYShcf,This trigger will only start when a specific value of a specific sensor of your Aura Air device is reached,Generic/Other
rQaYfSk4,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
rTXjrecM,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
rUXWTk2F,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
rVfJF8zX,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
rbJXxvgF,This Trigger monitors your local pollen levels and fires every time the pollen count rises above the value you specify (1-12). NOTE: Available only in the USA.,Light
rhkiF2Kx,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
rkSjvT3Z,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
rqmxCST2,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
rqyYKisR,This trigger is fired from the assigned pusher on your Kronaby watch.,Light
rsnimYDd,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
rvkhC5a3,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Generic/Other
rxT8zNgY,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
s9UCcBYb,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
s9mZqiwW,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
sQdqcJYN,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
sh9NRUBu,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
sk45qN76,This trigger is fired when an enrolled or selected face is detected by the Swann security device.,Light
snFuWg6Z,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
svqK9GeU,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
syXxDC4Z,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
syYbu2KE,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
t7pmQtNM,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
tHakzTbP,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
tJ7e8VcU,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
tJBxGukK,This Trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,Air/Climate
tVwFXdGg,Send IFTTT a tagged SMS by adding a hashtag symbol anywhere in the message (e.g. #IFTTT). ,Light
tX4bFp8N,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
taj6MtNR,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
tcASX8Bg,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
tjEgctyS,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
tnf4ieTJ,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
ts27HLAn,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
tv5FpUsY,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
u2b6cuzF,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
u85PLGph,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
uBZtpEGf,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
uCK3H6wQ,Trigger an Applet when the door is unlocked,Light
uFA2gD4C,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
uFdVX9ub,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
uK8sUz6R,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
uKSZAezb,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
ugkvXJS6,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
unqXAY6r,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
uu9sryiL,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
uuLjbTa3,"Whenever a preset temperature and/or humidity change detected, SwitchBot Thermometer & Hygrometer (the Meter) will try to trigger the service. E.g. if the temperature is too high, turn on AC with the SwitchBot Hub Plus (the Hub Plus).",Generic/Other
uuQZ3bcf,This trigger is fired from the assigned pusher on your Festina watch.,Thermostat/Heating
uypR4tiu,This trigger is run every time a specific Flow has been started on Homey. In order to use this Applet you need to be an owner on your Homey and have the IFTTT Homey App installed.,Generic/Other
uzsWUejX,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
v2Z9TGqv,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
v8unk9vp,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
v9Eyx2fk,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
vE8kFuzq,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
vHSUjGm8,The trigger fires when the Swann Video Doorbell button is pressed.,Light
vQV8uHvf,Indicates whether the carbon is clean or dirty,Generic/Other
vTCGgh3i,This Trigger monitors your local pollen levels and fires every time the pollen count rises above the value you specify (1-12). NOTE: Available only in the USA.,Generic/Other
vnEwqbMa,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
vpyP947H,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
vrZSmEJF,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
w3n2ZXdr,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
w4rySPtw,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
w6PGaQy4,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
wGAT6FBs,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
wJVdhifZ,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
wPZiV6Q7,Trigger an Applet when the door is locked,Generic/Other
wSUCKbZc,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
wU3FnJeQ,This Trigger monitors changes in your thermostat's measured temperature and fires if it exceeds a certain threshold.,Light
wVsyekEB,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
wZNjBDWm,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
waeXVf2B,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
wbdKERC6,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
wgaGbNt6,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
wgmnfSyd,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
wzguVxUQ,Trigger an Applet when the door is locked,Light
x2qEU3nJ,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
x8B9qhFS,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
xCuQFX53,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
xE9Vmqcg,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
xLJuNRQU,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
xM6kTtUH,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
xRvNsu6e,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
xa2rXD7E,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
xaMWLTsk,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
xfsJknpy,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
xm7Ctr5J,Fires when a new incident gets assigned to the current user.,Light
xuCnXpYr,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Thermostat/Heating
xxYPthjy,"Whenever a preset temperature and/or humidity change detected, SwitchBot Thermometer & Hygrometer (the Meter) will try to trigger the service. E.g. if the temperature is too high, turn on AC with the SwitchBot Hub Plus (the Hub Plus).",Thermostat/Heating
xzcDYfa5,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
y4Rz7eY8,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
y5tUvAGx,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
yE4xkupS,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
yFsvBLRx,This trigger is fired from the assigned pusher on your Lotus watch.,Thermostat/Heating
yFyTBEQU,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
yLzDdPbN,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
ySEMiQUv,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
yWpNRXgJ,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
yXCFaPt9,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
yXhu85gi,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
yaTcu7QF,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
yg2YcrLS,Indicates whether the carbon is clean or dirty,Thermostat/Heating
ygjHUKAB,Use this trigger to fire something when your electricity price stays above (or below) your set threshold for a minimum length of time in 30-minute blocks.,Thermostat/Heating
ywpAJ5VD,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
z3QiMWKN,This trigger is fired from the assigned pusher on your Jaguar watch.,Light
z7UfheEu,This Trigger monitors changes in your thermostat's heating mode and fires if it is set to a certain mode.,Light
z7zYGHbW,"This Trigger retrieves tomorrow's weather report within 5 minutes of the time you specify, depending on when forecast data is updated.",Light
zFsYUKRi,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
zG7fhxBz,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
zRXUx86r,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
zS5zKdte,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
zYHZePpy,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
zaA8NKrn,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
zaM652kj,This Trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,Generic/Other
zbzsPnLx,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
ziV6MHEA,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
zmPsu4p7,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
znAaYJWb,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
zqeY54XJ,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
zqzgUmJh,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
zyNc9k7R,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
